Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0,81,1,0,0.28,2,220.8,77,53.8,7.43,7.6
0,148,1,0,0.0,1,239.3,84,58.0,9.79,10.9
1,24,1,0,0.23,0,243.0,91,59.3,9.2,15.3
0,107,1,1,2.97,2,219.4,92,82.7,9.03,11.0
0,144,1,0,0.0,2,139.6,96,35.0,6.21,15.0
0,134,1,1,2.7,1,214.4,93,82.0,10.59,10.0
0,100,1,0,0.0,1,191.9,95,50.0,10.05,18.2
0,57,1,0,0.0,0,169.6,96,49.0,11.74,11.2
0,95,1,0,0.0,3,194.6,114,53.0,11.64,3.8
0,133,1,0,0.0,2,176.8,92,46.0,9.38,6.5
0,110,1,0,0.31,3,74.5,117,33.1,10.04,9.8
0,93,1,1,3.11,1,166.9,101,83.1,13.66,11.5
0,72,1,0,0.28,1,147.0,79,41.8,8.12,10.5
0,54,1,1,3.13,2,92.3,88,64.3,9.66,11.6
0,114,1,0,0.0,2,155.3,75,41.0,8.5,12.6
0,62,1,0,0.0,1,98.9,103,29.0,6.77,12.2
1,97,1,0,0.4,0,276.1,82,69.0,10.06,8.9
0,82,1,0,0.0,3,207.0,90,55.0,11.65,9.1
1,113,1,0,0.0,3,245.3,108,64.0,13.0,10.7
0,100,1,1,3.27,1,218.7,104,83.7,7.75,12.1
0,74,1,0,0.0,0,136.7,106,43.0,11.43,9.8
0,65,1,0,0.0,2,105.7,95,31.0,7.09,6.6
0,29,1,0,0.0,1,157.4,122,40.0,7.25,9.3
0,131,1,0,0.0,1,109.5,95,47.0,16.61,6.6
1,73,1,1,3.19,6,82.3,105,67.9,12.81,11.8
0,119,1,1,2.7,1,178.1,110,76.0,10.64,10.0
1,95,1,0,0.0,2,269.0,120,66.0,11.69,7.3
0,136,1,0,0.0,3,101.7,105,35.0,10.14,9.4
1,50,0,0,0.34,2,99.6,108,47.4,15.44,13.7
0,82,1,0,0.0,0,130.0,110,38.0,9.27,8.3
0,84,1,0,0.0,1,217.1,99,57.0,11.8,9.4
1,135,0,1,3.94,0,173.1,85,86.4,10.2,14.6
0,62,1,0,0.0,1,128.7,111,37.0,8.48,10.3
0,30,1,0,0.0,3,145.0,76,46.0,12.04,7.1
0,35,1,0,0.32,2,124.2,102,35.2,6.2,13.1
0,85,1,0,0.0,3,225.0,81,54.0,8.85,7.1
0,159,1,1,4.56,0,184.1,78,93.6,9.73,16.9
0,120,1,0,0.0,3,203.3,108,57.0,13.0,7.8
0,57,1,1,3.51,1,279.9,121,102.1,11.16,13.0
0,151,1,0,0.0,1,134.5,88,36.0,7.16,15.4
0,136,0,0,0.0,1,199.2,122,53.0,10.74,11.8
0,104,1,0,0.0,3,76.4,116,23.0,5.78,9.4
1,131,1,0,0.0,1,131.6,95,38.0,8.97,15.5
1,91,0,0,0.0,2,246.4,110,58.0,9.1,12.1
1,77,1,0,0.0,0,245.2,87,64.0,12.71,7.5
1,197,0,0,0.12,5,127.3,80,42.2,11.12,13.7
1,89,1,0,0.0,1,213.0,63,52.0,8.83,9.1
0,100,1,0,0.21,2,235.8,130,58.1,8.8,7.3
0,106,1,0,0.0,1,220.7,120,61.0,13.51,8.7
0,72,1,0,0.27,0,272.4,88,58.7,5.4,12.7
0,166,1,0,0.21,1,181.4,108,55.1,12.69,11.6
0,43,1,0,0.0,4,177.2,93,43.0,7.13,12.7
0,93,1,0,0.21,0,141.7,95,45.1,11.05,10.2
0,135,1,0,0.33,1,144.1,115,49.3,12.49,13.6
0,103,0,0,0.38,3,62.8,124,29.8,8.52,9.4
0,75,1,1,3.54,4,210.3,90,92.4,12.09,13.1
0,68,1,1,2.59,2,122.9,93,66.9,11.68,9.6
0,25,1,0,0.33,2,242.6,69,63.3,10.45,14.4
0,136,1,0,0.36,2,252.4,74,61.6,8.4,10.7
0,78,1,0,0.0,1,87.7,74,34.0,10.74,10.8
1,64,1,0,0.0,5,148.1,73,40.0,8.25,12.3
0,141,1,0,0.0,5,242.8,90,62.0,11.71,6.0
0,68,1,0,0.0,2,222.1,107,55.0,9.97,9.4
0,131,1,1,2.54,1,135.9,60,68.4,11.66,9.4
0,87,1,1,2.57,3,82.6,113,59.7,11.22,9.5
1,95,0,1,1.11,0,220.2,109,65.1,9.27,4.1
0,162,1,0,0.0,1,220.6,117,51.0,7.76,10.5
0,81,1,0,0.0,1,115.3,99,39.0,11.24,18.0
0,56,1,1,3.43,1,121.7,87,71.3,9.2,12.7
0,161,1,0,0.0,0,105.4,70,37.0,10.74,7.8
1,134,1,0,0.0,0,296.0,93,70.0,11.32,12.3
0,64,1,0,0.0,1,206.2,76,55.0,11.62,13.6
1,118,1,0,0.0,5,267.8,145,73.0,15.82,14.4
0,136,1,1,2.38,2,174.6,76,68.8,8.83,8.8
0,68,1,1,1.3,3,82.5,97,52.0,14.5,4.8
0,80,0,1,2.7,0,184.2,132,73.0,8.38,10.0
0,70,1,0,0.31,0,59.5,103,35.1,12.86,11.1
0,79,1,0,0.0,3,130.2,119,47.0,14.55,14.0
0,72,1,0,0.2,2,141.3,133,38.0,6.75,11.2
0,183,1,1,2.75,1,171.2,104,73.5,9.68,10.2
0,121,0,1,2.35,3,254.1,127,82.5,9.01,8.7
0,86,1,0,0.0,1,125.5,139,45.0,13.49,8.9
0,189,1,0,0.0,1,219.9,80,50.0,7.17,11.7
0,32,1,0,0.0,1,157.9,88,43.0,9.04,12.8
0,169,1,0,0.0,1,235.7,79,52.0,6.85,13.3
0,117,1,0,0.0,2,181.5,95,49.0,10.26,14.7
1,105,0,1,3.56,1,220.7,82,92.6,10.89,13.2
1,68,0,1,3.65,1,195.5,113,84.5,8.58,13.5
0,142,0,1,2.65,0,191.1,109,72.5,7.48,9.8
0,126,1,0,0.0,0,103.7,93,29.0,6.35,14.4
1,121,1,1,1.57,3,198.4,129,56.7,3.77,5.8
0,78,1,0,0.34,0,140.7,77,44.4,9.76,11.7
0,123,1,0,0.0,1,163.1,119,49.0,12.47,9.0
0,111,1,1,3.27,1,193.1,104,75.7,5.58,12.1
1,119,1,0,0.21,3,239.1,88,64.1,12.18,10.9
0,68,1,0,0.0,2,219.6,97,50.0,7.06,10.8
0,101,1,0,0.0,0,257.3,84,60.0,9.24,13.5
0,153,1,1,2.03,1,167.7,104,70.3,12.34,7.5
0,72,1,0,0.0,0,198.4,147,53.0,10.85,13.1
1,93,0,0,0.0,1,131.4,78,42.0,10.99,11.1
0,107,1,0,0.21,5,189.7,76,48.1,7.81,8.3
0,80,1,0,0.0,1,160.6,103,48.0,11.85,10.7
0,84,1,1,2.05,3,165.3,97,68.5,11.18,7.6
0,79,1,0,0.0,3,222.3,99,51.0,7.31,8.9
0,112,1,1,3.05,1,221.6,110,79.5,6.51,11.3
0,210,1,0,0.28,2,104.6,121,33.8,7.48,6.5
0,88,1,0,0.0,1,192.0,91,44.0,6.38,7.5
0,147,1,0,0.0,3,248.6,83,55.0,7.45,8.0
0,112,1,0,0.0,1,168.6,102,54.0,14.9,9.8
0,80,1,0,0.4,2,149.8,123,53.0,13.82,10.9
0,13,1,0,0.0,1,58.4,121,33.0,13.11,11.9
0,12,0,0,0.0,2,216.7,117,47.0,5.83,9.8
0,163,1,0,0.0,1,191.3,89,49.0,9.7,12.8
0,54,1,1,3.7,0,161.8,73,88.0,13.65,13.7
0,61,0,0,0.0,2,78.2,103,30.0,9.8,10.1
1,100,0,0,0.0,2,159.9,94,43.0,9.0,11.6
1,1,1,0,0.0,5,182.1,106,43.0,6.75,10.0
0,134,1,0,0.0,0,141.7,95,42.0,10.28,8.8
0,59,1,0,0.0,0,179.4,80,51.0,11.63,14.7
0,92,1,0,0.25,2,196.5,82,52.5,9.5,10.8
0,111,1,1,2.78,2,128.8,104,63.8,7.87,10.3
0,147,1,0,0.0,3,130.6,83,40.0,10.41,15.6
0,149,1,1,1.76,0,148.5,106,52.6,5.73,6.5
0,70,1,0,0.0,2,208.7,97,59.0,13.78,8.0
0,135,1,1,3.32,1,273.4,141,93.2,7.7,12.3
0,143,1,1,3.13,1,186.6,69,82.3,11.1,11.6
0,116,1,1,2.24,1,200.4,104,80.4,13.64,8.3
0,117,1,1,2.32,1,80.2,81,56.2,10.95,8.6
0,58,0,1,2.4,1,142.8,96,72.0,13.62,8.9
1,79,1,0,0.0,3,261.7,97,63.0,10.53,6.0
1,117,0,0,0.0,1,54.2,100,35.0,15.16,8.6
0,116,1,0,0.0,0,164.6,110,51.0,13.53,8.0
0,57,1,1,3.0,2,193.4,105,83.0,11.58,11.1
0,116,1,0,0.35,2,205.0,90,50.5,7.05,7.5
1,109,1,0,0.0,1,264.7,69,71.0,15.25,9.5
0,140,1,0,0.0,0,194.8,107,48.0,8.55,13.9
0,120,1,0,0.36,2,98.2,99,36.6,9.34,9.3
0,193,1,1,3.16,0,71.2,58,54.6,6.24,11.7
0,74,1,0,0.0,0,155.7,116,42.0,8.69,8.1
0,156,1,0,0.0,3,174.3,95,46.0,9.33,12.9
0,119,0,1,3.29,0,173.0,101,80.9,10.47,12.2
0,97,1,0,0.0,3,169.7,84,43.0,8.3,12.8
0,109,1,1,2.86,5,230.5,116,90.6,13.29,10.6
0,177,1,0,0.0,1,175.7,120,45.0,8.43,14.6
1,201,1,0,0.0,1,225.9,110,64.0,14.96,11.2
0,104,1,0,0.27,1,183.6,133,44.7,6.04,12.7
0,131,1,0,0.0,1,110.9,74,29.0,5.78,15.8
0,47,1,1,2.11,2,163.5,77,67.1,10.16,7.8
0,104,1,0,0.0,0,97.2,88,30.0,7.78,12.4
0,97,1,1,2.97,1,133.2,135,71.7,10.86,11.0
0,129,1,1,3.16,1,205.0,94,80.6,8.27,11.7
1,40,1,1,2.03,1,224.7,69,70.3,6.73,7.5
0,164,1,1,3.86,1,219.1,88,89.6,7.58,14.3
0,78,1,0,0.0,2,190.3,88,49.0,9.73,11.7
0,37,1,0,0.0,2,199.5,107,52.0,10.38,8.1
0,113,1,0,0.27,1,72.5,88,32.7,10.2,6.6
0,145,1,1,2.89,2,216.0,94,84.9,11.26,10.7
1,184,1,0,0.0,1,236.4,73,65.0,14.37,13.8
0,35,1,0,0.0,2,179.2,59,55.0,14.17,5.8
0,58,1,0,0.0,4,174.4,112,53.0,13.29,0.0
0,82,1,1,1.27,3,232.6,121,65.7,7.66,4.7
0,67,1,1,3.48,2,186.2,117,91.8,14.34,12.9
0,115,1,1,1.22,0,155.2,110,59.2,11.55,4.5
0,59,0,1,2.46,1,225.0,78,79.6,9.57,9.1
0,57,1,0,0.19,1,192.8,68,48.9,7.9,12.7
0,163,1,0,0.35,4,178.7,56,52.5,10.79,10.6
0,87,1,0,0.0,3,169.1,105,44.0,8.5,9.9
0,123,1,0,0.0,0,154.3,107,42.0,9.15,10.9
0,135,1,0,0.0,1,194.8,97,54.0,11.77,11.0
0,103,1,1,2.86,1,153.5,78,75.6,12.1,10.6
0,80,1,0,0.35,2,127.8,67,41.5,9.08,15.9
0,87,1,1,1.92,2,240.8,102,67.2,3.8,7.1
0,36,1,0,0.34,0,157.6,117,46.4,9.22,11.9
0,78,1,0,0.35,0,87.0,102,35.5,9.68,11.0
0,86,1,0,0.0,1,150.5,92,36.0,6.02,9.0
0,91,1,1,3.32,3,232.4,97,89.2,9.3,12.3
0,77,1,0,0.0,1,169.4,102,45.0,9.25,2.0
0,64,1,1,1.59,8,210.0,116,71.9,11.64,5.9
1,55,1,0,0.4,0,285.7,124,73.0,11.55,14.8
1,125,0,0,0.3,0,298.4,78,77.0,13.53,12.2
1,100,1,0,0.34,4,107.0,63,31.4,5.29,12.8
1,60,1,0,0.0,1,179.3,147,49.0,10.45,13.5
0,49,1,0,0.0,0,213.8,79,59.0,13.26,15.6
0,76,1,0,0.0,1,171.1,78,51.0,12.86,16.2
0,127,1,0,0.0,1,239.8,107,52.0,6.45,11.3
0,101,1,1,4.19,0,200.1,108,92.9,9.45,15.5
1,131,0,0,0.34,3,122.3,83,34.4,5.94,13.7
0,112,1,1,3.11,4,225.2,89,92.1,12.84,11.5
1,163,1,0,0.35,0,247.7,77,69.5,13.48,9.6
0,101,1,1,1.97,1,262.2,101,77.7,7.85,7.3
0,89,1,0,0.0,1,134.9,59,37.0,7.8,10.2
0,76,1,0,0.0,0,203.6,61,49.0,8.09,8.4
0,109,1,0,0.0,3,154.8,82,51.0,14.39,5.9
0,97,1,1,2.24,3,121.1,105,65.4,13.01,8.3
0,124,1,0,0.0,1,188.5,77,48.0,9.1,6.1
0,85,1,0,0.0,0,209.8,82,53.0,9.73,11.3
0,182,1,1,3.13,1,128.1,104,65.3,7.17,11.6
0,110,1,0,0.0,1,148.5,115,49.0,13.82,12.4
0,90,1,0,0.0,2,214.9,97,47.0,5.89,11.8
0,124,1,0,0.0,1,131.8,82,47.0,14.22,11.3
0,210,1,1,2.73,3,313.8,87,93.3,7.39,10.1
0,168,1,1,1.97,2,175.9,70,67.7,10.59,7.3
0,106,1,1,2.86,2,223.5,104,86.6,11.76,10.6
0,72,1,0,0.0,1,175.5,103,42.0,6.62,11.8
0,56,1,0,0.0,1,121.6,84,35.0,8.27,8.9
0,118,1,0,0.0,1,133.4,113,33.0,6.05,5.9
0,95,1,0,0.0,0,190.2,119,46.0,7.86,14.0
1,126,1,0,0.0,1,321.3,99,69.0,8.4,8.0
0,153,1,0,0.0,1,195.4,107,47.0,7.73,11.6
0,21,1,0,0.0,0,146.0,78,35.0,5.49,6.8
1,102,1,0,0.0,1,195.7,116,52.0,10.46,8.3
0,176,1,0,0.0,2,250.9,108,58.0,8.57,9.6
0,92,1,1,3.19,1,172.3,116,83.9,13.31,11.8
0,124,1,0,0.0,1,191.3,134,55.0,13.08,10.0
0,114,1,1,2.54,3,141.3,96,69.4,11.52,9.4
0,144,1,0,0.0,2,177.5,93,55.0,14.37,11.9
0,44,1,1,3.78,0,221.8,105,89.8,8.09,14.0
0,136,1,1,1.86,1,205.5,86,79.6,14.93,6.9
0,106,1,0,0.0,2,119.2,142,40.0,11.42,8.4
0,35,1,1,2.54,1,241.7,87,79.4,7.1,9.4
0,21,1,0,0.0,1,223.2,142,57.0,10.83,12.4
0,158,1,0,0.0,1,158.0,106,52.0,14.63,9.1
0,51,1,0,0.0,0,169.3,111,41.0,6.98,12.0
0,31,1,1,2.86,1,171.8,116,78.6,12.04,10.6
0,147,1,0,0.0,1,205.3,95,50.0,8.34,7.8
0,90,1,0,0.0,3,113.2,108,36.0,9.47,14.1
0,45,1,1,2.08,1,196.8,92,76.8,12.71,7.7
0,41,1,1,3.0,1,191.7,109,79.0,9.65,11.1
0,156,0,0,0.2,1,277.0,119,70.0,11.92,8.3
0,94,1,0,0.0,1,245.0,112,57.0,9.02,9.7
0,192,1,0,0.34,2,185.0,88,54.4,11.25,11.4
1,106,1,0,0.0,2,210.6,96,57.0,12.46,12.4
0,146,1,1,2.73,2,180.7,82,73.3,8.69,10.1
0,63,1,0,0.36,2,153.5,81,54.6,14.37,6.5
0,97,1,0,0.29,0,217.6,81,67.9,16.03,4.2
0,77,1,0,0.0,5,239.2,114,54.0,7.5,10.3
0,100,1,1,3.4,3,125.2,123,75.0,11.55,12.6
0,221,1,1,0.65,0,180.5,85,56.5,11.21,2.4
0,52,1,0,0.0,1,204.4,97,58.0,13.66,11.0
0,100,1,0,0.0,1,179.1,123,48.0,9.83,10.2
0,199,1,1,2.16,0,230.6,121,79.6,10.97,8.0
0,93,1,0,0.24,1,239.8,70,65.4,12.59,10.9
0,104,1,0,0.33,4,167.6,116,51.3,10.96,11.7
0,30,1,0,0.0,1,169.9,144,49.0,11.26,11.4
0,73,1,0,0.41,1,157.6,92,48.1,9.92,9.1
0,105,1,0,0.0,2,102.8,74,42.0,14.09,13.2
0,56,1,0,0.0,1,137.2,111,38.0,8.3,14.3
1,154,0,0,0.36,0,145.9,69,46.6,10.41,14.4
0,157,1,0,0.0,3,276.2,95,62.0,8.29,2.2
0,105,1,1,3.48,0,101.9,79,71.8,11.16,12.9
0,139,1,0,0.0,4,181.6,119,60.0,16.79,8.3
0,95,1,0,0.0,0,198.4,113,54.0,11.8,10.1
0,80,1,0,0.0,0,105.8,110,22.0,2.2,13.1
0,101,1,1,2.92,0,160.1,116,75.2,10.5,10.8
1,133,1,0,0.0,2,277.3,138,67.0,11.42,12.8
0,84,1,0,0.16,2,130.2,105,47.6,13.9,14.0
0,76,1,1,2.7,1,189.7,66,78.0,10.64,10.0
0,129,1,1,1.59,2,119.6,104,60.9,13.94,5.9
0,111,1,0,0.26,2,142.3,75,37.6,6.14,12.8
0,116,1,0,0.0,1,197.9,84,48.0,8.41,12.0
1,105,1,0,0.0,0,226.9,106,55.0,9.11,11.6
0,106,1,0,0.0,0,194.8,133,52.0,10.67,11.5
0,164,1,0,0.0,1,123.3,78,36.0,8.5,12.7
0,51,1,0,0.31,2,51.8,107,32.1,11.51,10.4
0,112,1,0,0.0,1,174.5,127,52.0,12.97,11.3
0,64,1,0,0.0,0,261.9,113,58.0,7.41,13.8
0,54,1,1,3.38,2,143.9,73,76.8,10.52,12.5
0,58,1,0,0.0,4,210.1,126,57.0,12.45,14.4
0,65,1,1,2.38,2,215.5,129,74.8,8.1,8.8
0,132,1,0,0.0,1,169.9,107,47.0,10.47,11.5
0,155,1,0,0.0,3,181.4,111,46.0,8.39,11.3
0,55,0,0,0.0,0,106.1,77,29.0,6.18,12.9
1,159,0,0,0.44,1,257.1,53,75.4,15.61,8.8
1,112,1,0,0.28,2,266.0,97,66.8,10.73,14.2
0,124,1,0,0.0,3,178.3,102,51.0,11.75,10.9
1,45,1,0,0.0,1,78.6,106,30.0,9.37,7.4
0,50,1,0,0.0,0,154.7,102,52.0,14.9,11.1
1,49,0,0,0.26,2,237.8,92,61.6,10.45,15.6
0,106,1,0,0.0,0,178.4,143,52.0,12.35,9.6
1,52,1,0,0.0,4,155.0,110,38.0,6.67,7.0
0,64,1,1,3.59,1,154.6,92,69.9,4.17,13.3
0,159,1,1,3.19,1,113.9,102,63.9,7.27,11.8
0,114,1,0,0.0,2,169.2,96,42.0,7.5,4.6
0,158,1,0,0.0,1,202.0,126,49.0,8.18,10.4
0,93,1,0,0.0,0,179.5,121,47.0,9.6,12.0
0,66,1,0,0.31,2,205.1,102,58.1,11.64,9.2
0,125,1,0,0.0,1,126.7,108,40.0,10.3,13.3
0,56,1,0,0.33,1,210.4,80,54.3,8.83,15.5
0,159,1,0,0.29,5,198.8,107,53.9,9.78,16.5
1,105,1,0,0.0,6,106.4,71,39.0,12.01,5.3
1,139,1,0,0.0,1,236.6,109,55.0,8.5,11.1
0,95,1,0,0.0,3,141.1,84,42.0,10.57,5.9
0,75,1,1,3.62,2,118.5,86,75.2,10.7,13.4
0,128,1,1,2.32,0,179.3,104,73.2,11.3,8.6
1,21,1,0,0.0,5,92.6,95,30.0,8.1,11.3
0,171,1,0,0.0,1,231.2,135,56.0,9.44,12.3
0,102,1,0,0.0,0,114.8,125,27.0,4.1,12.0
0,92,1,0,0.0,2,91.7,90,33.0,9.69,9.2
0,104,1,0,0.0,2,200.2,92,45.0,5.94,6.0
1,80,0,0,0.0,1,276.5,122,64.0,9.78,7.2
0,87,1,0,0.0,1,110.9,91,33.0,7.93,6.2
0,120,1,1,3.13,0,299.5,83,96.3,8.17,11.6
1,122,1,0,0.0,4,296.4,99,69.0,10.74,11.4
0,117,0,1,1.0,1,196.0,82,71.0,16.14,3.7
0,113,1,0,0.0,1,193.8,99,52.0,11.07,10.6
0,89,1,1,2.03,2,163.5,80,72.3,13.74,7.5
0,91,1,0,0.0,2,147.2,121,40.0,8.76,13.3
1,92,1,0,0.0,2,184.7,60,54.0,13.1,12.3
0,163,1,0,0.0,1,122.4,129,31.0,5.67,12.5
0,18,1,0,0.0,1,273.6,93,57.0,5.73,8.2
0,13,1,1,3.05,2,176.6,65,75.5,8.64,11.3
1,80,1,0,0.0,2,268.7,120,72.0,15.05,5.8
0,126,0,1,2.59,1,129.3,123,62.9,8.83,9.6
0,154,1,0,0.0,3,191.4,93,50.0,10.27,10.2
0,72,1,0,0.31,2,139.9,117,46.1,11.18,12.7
0,134,1,1,3.21,0,162.0,82,88.1,16.24,11.9
0,125,1,0,0.3,2,169.3,90,46.0,7.8,11.6
0,45,1,0,0.37,1,155.7,110,52.7,13.02,11.0
0,64,1,0,0.43,2,168.0,116,49.3,9.62,10.1
0,74,1,0,0.0,2,157.1,95,45.0,10.66,7.6
0,67,1,0,0.0,0,179.8,125,46.0,8.66,10.9
0,83,1,0,0.0,3,221.4,103,58.0,11.59,9.8
0,130,1,0,0.0,1,150.4,119,46.0,11.53,12.3
0,59,1,1,2.38,1,211.9,120,77.8,10.15,8.8
0,177,1,0,0.27,2,84.9,77,39.7,12.88,7.5
0,88,1,0,0.0,2,189.8,111,50.0,9.87,14.9
0,74,1,0,0.45,2,225.2,93,61.5,10.76,9.1
0,124,1,0,0.0,2,150.3,101,48.0,12.8,12.5
0,101,1,0,0.0,0,124.8,66,44.0,12.86,13.4
0,120,1,0,0.0,2,177.2,88,54.0,13.52,14.0
0,30,1,0,0.0,0,247.4,107,58.0,8.8,11.3
0,43,1,1,3.13,3,200.2,105,86.3,12.22,11.6
0,92,1,0,0.0,0,208.0,125,53.0,9.95,8.6
0,112,1,1,2.7,2,113.7,117,60.0,7.88,10.0
0,146,0,0,0.0,1,133.0,65,45.0,13.14,11.2
0,88,1,0,0.29,2,148.2,82,54.9,15.44,6.4
0,81,1,0,0.13,2,198.4,93,53.3,10.55,10.4
0,87,1,0,0.0,3,184.5,81,46.0,8.6,13.7
0,10,1,0,0.0,2,183.0,103,50.0,10.74,8.7
1,115,0,0,0.0,1,345.3,81,76.0,10.17,11.8
1,122,1,1,3.65,1,174.9,103,87.5,12.41,13.5
0,63,1,0,0.27,0,164.5,75,43.7,7.4,11.2
1,76,0,0,0.3,1,273.3,66,72.0,13.18,12.0
1,145,1,0,0.0,1,245.8,116,67.0,14.34,9.0
1,153,1,0,0.0,1,159.5,103,51.0,13.78,10.1
0,151,1,0,0.0,0,178.7,116,56.0,14.61,9.8
0,136,1,0,0.34,1,92.0,117,41.4,12.68,10.3
0,166,1,0,0.26,2,197.9,89,57.6,12.55,11.2
0,139,1,0,0.0,2,271.6,130,60.0,7.8,11.6
0,129,1,0,0.0,1,150.0,98,46.0,11.62,12.5
1,56,1,0,0.16,4,162.3,99,42.6,7.46,14.8
0,150,1,1,1.94,0,209.8,112,68.4,7.75,7.2
0,139,1,0,0.0,3,196.0,135,50.0,9.3,9.8
0,54,0,0,0.0,3,236.3,91,54.0,7.64,11.2
0,114,1,1,3.83,1,309.9,90,108.3,10.02,14.2
0,80,1,0,0.0,0,101.1,121,40.0,13.16,7.3
0,160,1,0,0.17,1,216.8,77,56.7,10.37,5.6
0,65,1,1,3.38,4,208.8,119,81.8,7.11,12.5
1,49,1,0,0.0,2,266.3,90,63.0,10.39,14.0
0,115,1,1,2.84,2,192.3,86,69.4,4.44,10.5
0,62,1,0,0.0,4,245.3,91,53.0,6.15,8.5
0,150,1,1,2.38,2,139.6,72,76.8,16.64,8.8
0,140,1,0,0.38,0,112.8,89,36.8,7.84,16.3
0,102,1,0,0.0,1,224.7,81,50.0,6.47,15.8
0,80,1,1,2.57,2,236.6,69,83.7,9.88,9.5
0,118,0,0,0.0,2,160.0,123,43.0,8.77,9.9
1,76,1,0,0.0,0,299.5,125,71.0,11.34,13.7
0,70,1,0,0.0,2,198.6,111,52.0,10.7,10.6
0,137,1,0,0.0,2,206.4,122,46.0,6.4,8.8
0,130,1,0,0.0,2,211.2,119,56.0,11.56,6.3
0,78,1,0,0.0,0,220.0,95,53.0,9.0,11.5
0,67,1,0,0.0,2,171.7,80,39.0,5.52,11.9
0,90,1,1,3.08,1,94.8,89,65.8,10.96,11.4
0,74,1,0,0.0,3,262.3,114,62.0,9.95,6.6
0,90,1,0,0.28,2,114.4,122,33.8,6.39,10.1
0,96,1,0,0.36,1,106.6,128,46.6,14.24,14.9
0,40,1,1,1.67,2,148.1,74,56.7,8.48,6.2
0,189,1,0,0.25,3,227.8,124,56.5,8.48,5.6
0,124,1,0,0.0,0,178.4,72,51.0,11.68,12.0
0,95,1,0,0.0,1,183.4,98,56.0,14.07,8.2
0,33,0,0,0.0,0,164.0,99,41.0,7.66,6.4
1,71,1,0,0.0,3,290.4,108,71.0,12.7,10.1
0,80,1,0,0.24,1,197.5,114,54.4,10.35,11.3
1,93,0,0,0.0,0,312.0,109,65.0,6.47,10.5
0,109,0,1,2.51,0,217.2,138,75.1,7.28,9.3
0,64,1,1,2.05,1,200.4,80,66.5,6.56,7.6
0,120,1,1,2.08,0,239.4,94,83.8,12.97,7.7
0,21,1,0,0.0,0,225.0,110,60.0,12.21,10.7
1,103,1,1,3.11,0,149.9,84,72.1,8.55,11.5
0,64,1,1,3.32,1,201.3,101,80.2,7.19,12.3
0,81,1,1,2.62,0,210.4,100,81.2,11.28,9.7
0,71,1,0,0.23,4,258.4,132,57.3,6.34,9.7
0,90,1,0,0.0,2,179.2,77,49.0,10.54,9.2
0,79,1,1,4.0,2,103.7,100,78.0,11.82,14.8
0,176,1,0,0.34,0,169.5,151,42.4,5.65,8.7
